pl_name,pl_orbper,pl_rade,st_teff,st_rad,sy_snum,sy_pnum,disc_year,discoverymethod,target_confirmed
HD 564 b,492.3,2.4,5902.0,1.01,1.0,1.0,2014.0,Radial Velocity,1
291.01,12.08837,18.1866,5920.0,1.34,1.0,1.0,2016.0,Transit,0
TOI-1695 b,3.134279,2.03,3650.0,0.53,1.0,1.0,2022.0,Transit,1
184.01,4.8170684,24.4342674,6380.0,1.44956,1.0,1.0,2016.0,Transit,0
HD 39194 c,14.03,2.4,5205.0,0.95,1.0,3.0,2021.0,Radial Velocity,1
4722.01,10.8910909,10.6208,6619.0,1.61,1.0,1.0,2016.0,Transit,0
K2-48 b,20.5065,2.24,4899.0,0.73,1.0,1.0,2016.0,Transit,1
Kepler-88 d,1403.0,2.4,5466.0,0.897,1.0,3.0,2020.0,Radial Velocity,1
Kepler-740 b,3.5840953659,2.4,5415.15,0.986491,1.0,1.0,2016.0,Transit,1
6492.01,731.8319734,12.4424,3556.0,0.54,1.0,1.0,2016.0,Transit,0
2170.01,9.2786686,2.23168,6018.0,1.12,1.0,1.0,2016.0,Transit,0
Qatar-10 b,1.645321,17.295487,6124.0,1.254,1.0,1.0,2019.0,Transit,1
3210.01,2.2364485,24.5257,6905.0,1.51,1.0,1.0,2016.0,Transit,0
1024.01,18.0157,21.644,4709.0,7.61,1.0,1.0,2016.0,Transit,0
3189.01,1.84996,13.3315,6320.0,1.37,1.0,1.0,2016.0,Transit,0
5749.01,5.4328364,12.63,6024.0,3.4,1.0,1.0,2016.0,Transit,0
1909.01,4.1536624,12.7595,5818.8,1.09,1.0,1.0,2016.0,Transit,0
bet UMi b,522.3,2.4,4126.0,38.3,1.0,1.0,2014.0,Radial Velocity,1
Qatar-6 b,3.50616494168,12.85761953,4906.0,0.771086,2.0,1.0,2017.0,Transit,1
4941.01,3.5569996,10.8822,4440.0,0.78,1.0,1.0,2016.0,Transit,0
Kepler-304 e,1.499146953,1.43,4910.0,0.892,1.0,4.0,2016.0,Transit,1
TOI-1694 b,3.77015,5.44,5066.4,0.95,1.0,2.0,2023.0,Transit,1
4119.01,5.201975,9.15316,4950.0,1.18,1.0,1.0,2016.0,Transit,0
3273.01,4.2955192,13.6703,5875.0,0.95,1.0,1.0,2016.0,Transit,0
1399.01,1.3812787,5.91488,6483.0,1.38,1.0,1.0,2016.0,Transit,0
TOI-2193 A b,2.1225735,19.83989584,5966.0,1.248,2.0,1.0,2022.0,Transit,1
4676.01,13.291966,8.65633,5042.0,0.9,1.0,1.0,2016.0,Transit,0
5395.01,6.5811814,1.80641,6269.0,1.17,1.0,1.0,2016.0,Transit,0
K2-375 b,14.443,2.4,5826.08,1.54893,1.0,1.0,2022.0,Transit,1
