pl_name,pl_orbper,pl_rade,st_teff,st_rad,sy_snum,sy_pnum,disc_year,discoverymethod,target_confirmed
HAT-P-24 b,3.3552479,13.921578,6373.0,1.317,2.0,1.0,2010,Transit,1
399.01,1.5716819,4.5091786,4752.8,0.982066,1.0,1.0,2016.0,Transit,0
1449.02,2.3691849,1.614201,5780.0,0.604385,1.0,1.0,2016.0,Transit,0
Kepler-573 b,22.18332255,2.78,5565.0,1.03,1.0,1.0,2016,Transit,1
K2-223 c,4.562546,1.5,5859.0,1.0,1.0,2.0,2018,Transit,1
TOI-1799 b,7.085738,1.42238884,5698.0,0.9536,1.0,1.0,2024,Transit,1
Kepler-194 c,17.30693,2.65,6107.0,1.04,1.0,3.0,2014,Transit,1
3616.01,2.4188647,20.8975,7316.0,2.9,1.0,1.0,2016.0,Transit,0
7506.01,3.3335134,11.6746698,4056.0,0.764913,1.0,1.0,2016.0,Transit,0
2314.01,15.937546,11.9220549,6093.1,1.55033,1.0,1.0,2016.0,Transit,0
3160.01,3.9712794,15.3233,6200.0,1.62,1.0,1.0,2016.0,Transit,0
Kepler-572 b,17.20522898,2.22,5211.0,0.689,1.0,1.0,2016,Transit,1
Kepler-201 c,151.8851881,2.44,6240.51,1.27729,1.0,2.0,2014,Transit,1
HD 222155 b,3270.0,2.44,5765.0,0.95,1.0,1.0,2011,Radial Velocity,1
1402.01,0.43889,6.69456,7111.0,2.32,1.0,1.0,2016.0,Transit,0
6645.01,3.9525732,2.44,4536.1,0.95,1.0,1.0,2016.0,Transit,0
578.01,2.0528684,17.6267405,6010.0,1.70948,1.0,1.0,2016.0,Transit,0
Kepler-80 d,3.072146607,2.44,4613.0,0.66402,1.0,6.0,2014,Transit,1
3019.01,5.9594909,12.8042,5950.0,1.0,1.0,1.0,2016.0,Transit,0
6914.01,9.3079811,18.225,6076.4,1.1,1.0,1.0,2016.0,Transit,0
4928.01,2.7792649,12.48,7544.0,2.08,1.0,1.0,2016.0,Transit,0
2169.01,8.2148505,10.4375,6183.0,1.81,1.0,1.0,2016.0,Transit,0
TOI-4342 c,10.68860835067,2.46422452,3883.0,0.598175,1.0,2.0,2023,Transit,1
Kepler-411 d,58.0192007,3.51,4987.0,0.768,2.0,4.0,2018,Transit,1
GJ 317 c,7500.0,2.44,3492.73,0.431834,1.0,2.0,2018,Radial Velocity,1
2860.01,4.1849602,2.44,5722.4,0.95,1.0,1.0,2016.0,Transit,0
WASP-118 b,4.0460407,15.625346,5552.0,1.754,1.0,1.0,2016,Transit,1
Kepler-49 e,18.5962103224,2.44,4011.0,0.667253,1.0,4.0,2014,Transit,1
Kepler-284 b,12.69906,2.54,5603.0,0.82,1.0,2.0,2014,Transit,1
HD 109271 c,30.93,2.44,5783.0,0.95,1.0,2.0,2013,Radial Velocity,1
1216.01,4.5541831,0.8887417,4280.0,0.635812,1.0,1.0,2016.0,Transit,0
Kepler-54 c,12.07135949,1.33,3726.0,0.47,1.0,3.0,2012,Transit,1
Kepler-976 b,105.9567331,2.44,4960.0,0.895026,1.0,1.0,2016,Transit,1
6813.01,2.3557153,1.98374,4851.0,0.72,1.0,1.0,2016.0,Transit,0
Kepler-1918 b,47.0563327,2.57,5889.0,0.924,1.0,1.0,2021,Transit,1
1938.01,12.7060866,11.4460032,6200.5,1.10563,1.0,1.0,2016.0,Transit,0
K2-386 b,7.47331,2.74,5552.0,1.012,1.0,1.0,2022,Transit,1
TYC 0434-04538-1 b,193.2,2.44,4679.0,9.99,1.0,1.0,2021,Radial Velocity,1
Kepler-1802 b,7.72513619,1.71,4245.0,0.637,1.0,2.0,2021,Transit,1
Kepler-185 b,1.632918853,1.056,5037.0,0.718,1.0,2.0,2014,Transit,1
Kepler-905 b,5.082746517,1.47,5569.0,0.887,1.0,1.0,2016,Transit,1
HD 224018 c,36.57669,2.42,5784.0,1.147,1.0,3.0,2025,Transit,1
6681.01,3.7783401,13.8305377,5443.0,0.863922,1.0,1.0,2016.0,Transit,0
7030.01,2.5604496,1.60134,4679.0,0.77,1.0,1.0,2016.0,Transit,0
3258.01,1.227961,2.44,4508.0,0.95,1.0,1.0,2016.0,Transit,0
5372.01,11.6270831,10.1847,5776.1,1.6,1.0,1.0,2016.0,Transit,0
XO-1 b,3.941634,15.02006,5552.0,1.0,1.0,1.0,2006,Transit,1
K2-63 c,25.4569,3.66,5552.0,1.269,1.0,2.0,2016,Transit,1
Kepler-1810 b,101.1323475,3.87,5492.0,1.016,1.0,1.0,2021,Transit,1
4056.01,5.0518907,9.11036,6328.9,1.55,1.0,1.0,2016.0,Transit,0
Kepler-143 c,27.08247084,2.36,6010.0,1.037,1.0,2.0,2014,Transit,1
4727.01,7.151653,22.4773,5635.0,1.14,1.0,1.0,2016.0,Transit,0
923.01,3.2744665,4.0297948,6049.0,1.2460999,1.0,1.0,2016.0,Transit,0
6940.01,0.3052608,2.03448,3338.0,0.37,1.0,1.0,2016.0,Transit,0
5332.01,3.9544873,9.29453,6002.5,1.35,1.0,1.0,2016.0,Transit,0
Kepler-38 b,105.599,4.3,5623.0,1.752,2.0,1.0,2012,Transit,1
Kepler-341 c,8.01041,1.7,6012.0,1.024,1.0,4.0,2014,Transit,1
5478.02,10.1197017,9.15067,5656.0,1.75,1.0,1.0,2016.0,Transit,0
K2-165 d,14.06660140645,3.19087767,5141.67,0.837606,1.0,3.0,2018,Transit,1
7364.01,2.9257773,10.8746,5688.0,1.24,1.0,1.0,2016.0,Transit,0
6485.01,17.0180939,14.5502,5782.0,1.26,1.0,1.0,2016.0,Transit,0
Kepler-552 b,5.2634076,3.5,6045.0,1.0,1.0,1.0,2016,Transit,1
4958.01,748.8277169,21.1132,6713.0,2.11,1.0,1.0,2016.0,Transit,0
809.01,183.458919,3.379417,5804.3,1.30725,1.0,1.0,2016.0,Transit,0
174.05,7.9076222,0.969819,4813.0,0.69,1.0,1.0,2016.0,Transit,0
K2-215 b,8.26947,2.63,5552.0,1.0807,1.0,1.0,2018,Transit,1
Kepler-1469 b,21.8635301,2.5,5402.0,0.793,1.0,1.0,2016,Transit,1
Kepler-1924 b,15.3317018,1.2,6028.0,0.844,1.0,1.0,2021,Transit,1
6412.01,3.9802888,11.6985,5991.0,1.52,1.0,1.0,2016.0,Transit,0
Kepler-1996 c,92.72949982,2.81299996,4580.0,0.675,1.0,2.0,2023,Transit,1
HD 205158 b,25.33798,2.44,5552.0,0.95,1.0,1.0,2022,Radial Velocity,1
Kepler-172 c,6.3889479706,2.44,5429.0,1.08963,1.0,4.0,2014,Transit,1
